CPU: everything works but slowly, and reproducibly. Used by the tests.
seed 0 | video-level split, disjoint | train 6 videos / 18 clips | val 3 videos / 9 clips ['video_06', 'video_07', 'video_08'] | test 3 videos ['video_09', 'video_10', 'video_11']
class weighting ON (from 288 train frames): step weight 0.45..4.11 over the 13 steps present, 1.0 for the absent ones | instrument pos_weight 4.05..56.60
epoch 00 | timm:resnet18(scratch)+tcn | train loss 3.9645 | [val] 144 frames / 3 videos | step acc 0.083 macro-F1 0.011 (9/14 steps present) | edit 8.3 F1@10 14.3 F1@25 14.3 F1@50 0.0 | instr macro-F1 0.057 (14/18 instruments present)
epoch 01 | timm:resnet18(scratch)+tcn | train loss 3.7763 | [val] 144 frames / 3 videos | step acc 0.000 macro-F1 0.000 (9/14 steps present) | edit 0.0 F1@10 0.0 F1@25 0.0 F1@50 0.0 | instr macro-F1 0.049 (14/18 instruments present)
epoch 02 | timm:resnet18(scratch)+tcn | train loss 3.5719 | [val] 144 frames / 3 videos | step acc 0.028 macro-F1 0.014 (9/14 steps present) | edit 7.8 F1@10 5.4 F1@25 0.0 F1@50 0.0 | instr macro-F1 0.067 (14/18 instruments present)
epoch 03 | timm:resnet18(scratch)+tcn | train loss 3.4118 | [val] 144 frames / 3 videos | step acc 0.111 macro-F1 0.057 (9/14 steps present) | edit 7.3 F1@10 5.6 F1@25 5.6 F1@50 0.0 | instr macro-F1 0.130 (14/18 instruments present)
epoch 04 | timm:resnet18(scratch)+tcn | train loss 3.1882 | [val] 144 frames / 3 videos | step acc 0.264 macro-F1 0.160 (9/14 steps present) | edit 9.8 F1@10 17.1 F1@25 7.3 F1@50 2.4 | instr macro-F1 0.174 (14/18 instruments present)
epoch 05 | timm:resnet18(scratch)+tcn | train loss 3.0417 | [val] 144 frames / 3 videos | step acc 0.222 macro-F1 0.134 (9/14 steps present) | edit 12.7 F1@10 10.0 F1@25 5.0 F1@50 2.5 | instr macro-F1 0.180 (14/18 instruments present)
epoch 06 | timm:resnet18(scratch)+tcn | train loss 2.7128 | [val] 144 frames / 3 videos | step acc 0.319 macro-F1 0.187 (9/14 steps present) | edit 11.5 F1@10 19.7 F1@25 13.1 F1@50 3.3 | instr macro-F1 0.216 (14/18 instruments present)
epoch 07 | timm:resnet18(scratch)+tcn | train loss 2.7496 | [val] 144 frames / 3 videos | step acc 0.493 macro-F1 0.241 (9/14 steps present) | edit 14.5 F1@10 23.1 F1@25 23.1 F1@50 19.2 | instr macro-F1 0.228 (14/18 instruments present)
epoch 08 | timm:resnet18(scratch)+tcn | train loss 2.5803 | [val] 144 frames / 3 videos | step acc 0.347 macro-F1 0.164 (9/14 steps present) | edit 10.2 F1@10 14.5 F1@25 11.6 F1@50 8.7 | instr macro-F1 0.195 (14/18 instruments present)
epoch 09 | timm:resnet18(scratch)+tcn | train loss 2.3559 | [val] 144 frames / 3 videos | step acc 0.285 macro-F1 0.158 (9/14 steps present) | edit 15.5 F1@10 18.2 F1@25 10.9 F1@50 3.6 | instr macro-F1 0.206 (14/18 instruments present)
epoch 10 | timm:resnet18(scratch)+tcn | train loss 2.4508 | [val] 144 frames / 3 videos | step acc 0.333 macro-F1 0.202 (9/14 steps present) | edit 15.2 F1@10 20.3 F1@25 16.9 F1@50 10.2 | instr macro-F1 0.223 (14/18 instruments present)
epoch 11 | timm:resnet18(scratch)+tcn | train loss 2.0411 | [val] 144 frames / 3 videos | step acc 0.368 macro-F1 0.249 (9/14 steps present) | edit 15.3 F1@10 24.1 F1@25 20.7 F1@50 6.9 | instr macro-F1 0.231 (14/18 instruments present)
epoch 12 | timm:resnet18(scratch)+tcn | train loss 2.1094 | [val] 144 frames / 3 videos | step acc 0.382 macro-F1 0.246 (9/14 steps present) | edit 15.2 F1@10 24.6 F1@25 21.1 F1@50 10.5 | instr macro-F1 0.225 (14/18 instruments present)
epoch 13 | timm:resnet18(scratch)+tcn | train loss 1.8826 | [val] 144 frames / 3 videos | step acc 0.306 macro-F1 0.199 (9/14 steps present) | edit 19.5 F1@10 28.6 F1@25 24.5 F1@50 12.2 | instr macro-F1 0.211 (14/18 instruments present)
epoch 14 | timm:resnet18(scratch)+tcn | train loss 1.8570 | [val] 144 frames / 3 videos | step acc 0.354 macro-F1 0.211 (9/14 steps present) | edit 21.0 F1@10 27.9 F1@25 27.9 F1@50 14.0 | instr macro-F1 0.229 (14/18 instruments present)
epoch 15 | timm:resnet18(scratch)+tcn | train loss 1.9967 | [val] 144 frames / 3 videos | step acc 0.299 macro-F1 0.194 (9/14 steps present) | edit 14.5 F1@10 20.0 F1@25 16.7 F1@50 6.7 | instr macro-F1 0.221 (14/18 instruments present)
epoch 16 | timm:resnet18(scratch)+tcn | train loss 1.7900 | [val] 144 frames / 3 videos | step acc 0.340 macro-F1 0.193 (9/14 steps present) | edit 14.8 F1@10 19.6 F1@25 19.6 F1@50 11.8 | instr macro-F1 0.230 (14/18 instruments present)
epoch 17 | timm:resnet18(scratch)+tcn | train loss 1.9365 | [val] 144 frames / 3 videos | step acc 0.326 macro-F1 0.204 (9/14 steps present) | edit 17.2 F1@10 23.1 F1@25 19.2 F1@50 11.5 | instr macro-F1 0.216 (14/18 instruments present)
epoch 18 | timm:resnet18(scratch)+tcn | train loss 1.7352 | [val] 144 frames / 3 videos | step acc 0.347 macro-F1 0.209 (9/14 steps present) | edit 16.3 F1@10 18.5 F1@25 18.5 F1@50 11.1 | instr macro-F1 0.226 (14/18 instruments present)
epoch 19 | timm:resnet18(scratch)+tcn | train loss 1.9386 | [val] 144 frames / 3 videos | step acc 0.333 macro-F1 0.209 (9/14 steps present) | edit 17.2 F1@10 23.1 F1@25 19.2 F1@50 11.5 | instr macro-F1 0.222 (14/18 instruments present)
selected epoch 11 of timm:resnet18(scratch)+tcn by val step macro-F1 = 0.249 (this is a selection score on val, not a held-out estimate) -> runs/phase/best.pt
timm:resnet18(scratch)+tcn | [test] 144 frames / 3 videos | step acc 0.340 macro-F1 0.203 (9/14 steps present) | edit 17.8 F1@10 25.4 F1@25 19.0 F1@50 12.7 | instr macro-F1 0.221 (13/18 instruments present) — held out from both training and checkpoint selection
